Actor,ActorID,Year,Film,Votes,Rating,FilmID
Alexandra Daddario,nm1275259,2020,SongbirdLost Girls and Love Hotels1 Night in San Diego,8860,12.7,tt12592252tt0920462tt9765226
Alexandra Maria Lara,nm0487884,2020,Asphalt Burning,1726,5.1,tt6527456
Alexandra Shipp,nm3381295,2020,All the Bright PlacesEndless,22585,11.3,tt3907584tt5723282
Alfonso Herrera,nm1270781,2020,Dance of the 41,260,7.7,tt11525022
Alfred Enoch,nm0257917,2020,Tigers,224,6.9,tt9850488
Alfred Molina,nm0000547,2020,Promising Young Woman,61956,7.5,tt9620292
Ali Wong,nm4399227,2020,Birds of PreyOnwardPhineas and Ferb the Movie: Candace Against the Universe,289107,20.7,tt7713068tt7146812tt1817232
Alice Braga,nm0103797,2020,SoulThe New Mutants,263251,13.399999999999999,tt2948372tt4682266
Alice Kremelberg,nm2450512,2020,The Trial of the Chicago 7Ten Minutes to Midnight,123426,12.399999999999999,tt1070874tt10369866
Alice Krige,nm0000481,2020,Gretel & HanselThe Bay of Silence,26945,9.7,tt9086228tt5617312
Alicia Silverstone,nm0000224,2020,Valley GirlBad TherapySister of the Groom,3324,14.3,tt1266036tt8488518tt9222438
Alicia Vikander,nm2539953,2020,The Glorias,2248,5.4,tt7435316
Alicia Witt,nm0001860,2020,I Care a LotModern Persuasion,81751,11.0,tt9893250tt2165922
Alicia von Rittberg,nm2736690,2020,Resistance,4670,6.4,tt6914122
Alison Brie,nm1555340,2020,Promising Young WomanHappiest SeasonThe RentalHorse Girl,124498,25.7,tt9620292tt8522006tt10003008tt11388406
Alison Steadman,nm0824102,2020,23 Walks,247,5.8,tt9699620
Alistair Petrie,nm0677944,2020,Sulphur and White,170,5.2,tt7334158
Alix Wilton Regan,nm2542896,2020,A Nightmare Wakes,197,3.8,tt5607098
Allen Covert,nm0184445,2020,Hubie HalloweenThe Wrong Missy,73260,10.9,tt10682266tt9619798
Alli Hart,nm5841886,2020,Promising Young WomanThe Dinner Party,63866,12.1,tt9620292tt10358198
Allison Dunbar,nm0241815,2020,The F**k-It ListThe Opening ActBrowse,5601,14.799999999999999,tt8145202tt8633748tt5580306
Allison Janney,nm0005049,2020,Lazy Susan,639,5.2,tt8633560
Allison Tolman,nm2798112,2020,The Last Shift,1141,5.6,tt10661180
Allison Williams,nm4129745,2020,Horizon Line,4227,4.7,tt5498354
Alyshia Ochse,nm1865462,2020,She's in Portland,323,5.5,tt7174660
Alyson Stoner,nm1351987,2020,Phineas and Ferb the Movie: Candace Against the Universe,3094,7.2,tt1817232
Alyssa Milano,nm0000192,2020,You Are My Home,322,6.6,tt6693156
Amali Golden,nm1690855,2020,The Invisible ManLove and MonstersBlack Water: Abyss,215392,18.6,tt1051906tt2222042tt7978672
Amanda Bearse,nm0000294,2020,Sky Sharks,708,3.9,tt3977848
Amanda Brugel,nm0115760,2020,BeckyFlashbackLike a House on Fire,12190,19.0,tt10314450tt8372094tt10514240
Amanda Cerny,nm6343096,2020,The Babysitter: Killer Queen,28110,5.8,tt11024272
Amanda Crew,nm1468739,2020,Most Wanted,3084,6.1,tt1656177
Amanda Detmer,nm0221902,2020,A California ChristmasLady Driver,7542,11.7,tt13055780tt7562334
Amanda Root,nm0740500,2020,Summerland,3691,7.0,tt6841122
Amanda Seyfried,nm1086543,2020,MankScoob!You Should Have Left,86054,18.1,tt10618286tt3152592tt8201852
Amanda Wyss,nm0944143,2020,Hunter's Moon,443,3.3,tt5761986
Amber Anderson,nm3806097,2020,Emma.,34941,6.7,tt9214832
Amber Rose Revah,nm2362244,2020,Concrete Plans,373,5.2,tt10975750
Amiah Miller,nm6403233,2020,Anastasia,474,2.9,tt7014356
Amir El-Masry,nm5011084,2020,Limbo,322,7.3,tt9138170
Amitabh Bachchan,nm0000821,2020,Gulabo SitaboGhoomketuAB Aani CD,13816,18.5,tt10333912tt3734580tt10419042
Amy Adams,nm0010736,2020,Hillbilly Elegy,29763,6.7,tt6772802
Amy Bailey,nm3338776,2020,Knuckledust,161,5.0,tt9109072
Amy Hargreaves,nm0362955,2020,Paint,156,5.3,tt11232208
Amy Landecker,nm0484541,2020,Project PowerShithouse,74644,13.0,tt7550000tt11618536
Amy Louise Pemberton,nm1683343,2020,Sergio,8443,6.1,tt8750570
Amy Madigan,nm0001496,2020,The Hunt,73486,6.5,tt8244784
Amy Pietz,nm0682970,2020,Hooking Up,1453,5.5,tt9815998
Amy Ryan,nm0752407,2020,Lost GirlsWorth,17910,13.0,tt3111426tt8009744
Amy Sedaris,nm0781238,2020,Save Yourselves!,4321,5.8,tt7873348
Amy Seimetz,nm1541272,2020,The Secrets We KeepArchenemy,5053,10.8,tt9252488tt11274100
Amy Stoch,nm0830757,2020,Bill & Ted Face the Music,31080,6.1,tt1086064
Ana Gasteyer,nm0309430,2020,Happiest Season,27504,6.6,tt8522006
Ana de Armas,nm1869101,2020,The Night ClerkSergio,19565,11.6,tt7979142tt8750570
Andi Osho,nm1450877,2020,The Intergalactic Adventures of Max Cloud,1451,4.8,tt9472532
Andie MacDowell,nm0000510,2020,No Man's Land,384,5.1,tt10449052
Andrea Brooks,nm2255698,2020,Welcome to the Circle,222,3.3,tt3918800
Andrea Riseborough,nm2057859,2020,The GrudgePossessorLuxor,42195,16.1,tt3612126tt5918982tt10039524
Andrew Garfield,nm1940449,2020,Mainstream,151,5.3,tt9224288
Andrew Gower,nm4362505,2020,Running Naked,147,5.1,tt8502944
Andrew Howard,nm0397110,2020,TenetSongbird,328687,12.1,tt6723592tt12592252
Andrew Keegan,nm0005080,2020,Adverse,3018,4.6,tt8597594
Andrew Lawrence,nm0492620,2020,Money Plane,1683,3.2,tt7286966
Andrew Lincoln,nm0511088,2020,Penguin Bloom,5424,6.8,tt6317656
Andrew Rannells,nm0710330,2020,The PromThe Boys in the BandThe Stand In,36264,17.2,tt10161886tt10199914tt7970348
Andrew Santino,nm2747668,2020,Friendsgiving,1513,4.4,tt8431078
Andy Allo,nm3698103,2020,2 Minutes of Fame,426,5.3,tt7661376
Andy Garcia,nm0000412,2020,Words on Bathroom WallsAna,4991,12.899999999999999,tt8045906tt6865630
Andy Samberg,nm1676221,2020,Palm Springs,93872,7.4,tt9484998
Andy Serkis,nm0785227,2020,A Christmas Carol,113,5.0,tt9136058
Angela Bassett,nm0000291,2020,Soul,215191,8.1,tt2948372
Angela Trimbur,nm1640326,2020,Horse GirlHave a Good Trip,21383,12.7,tt11388406tt12133722
Angelina Jolie,nm0001401,2020,The One and Only IvanCome Away,12071,12.3,tt3661394tt5714470
Angie Pack,nm11065266,2020,Breach,4866,3.0,tt9820556
Angus Imrie,nm2653929,2020,Emma.,34941,6.7,tt9214832
Angus Macfadyen,nm0005171,2020,Steel Rain 2,775,6.3,tt10516176
Angus Wright,nm0942202,2020,The WitchesThe Courier,27889,12.6,tt0805647tt8368512
Anika Noni Rose,nm0741242,2020,Jingle Jangle: A Christmas JourneyBody Cam,19299,11.8,tt7736496tt8179024
Anjelica Huston,nm0001378,2020,Waiting for Anya,976,5.9,tt7095476
Ann Dowd,nm0235652,2020,RebeccaCowboys,32941,11.7,tt2235695tt6187134
Anna Akana,nm4331196,2020,Hooking Up,1453,5.5,tt9815998
Anna Camp,nm2319871,2020,The LovebirdsDesperados,30640,11.3,tt8851668tt1545304
Anna Chancellor,nm0151250,2020,Come Away,2870,5.7,tt5714470
Anna Friel,nm0295484,2020,Books of BloodSulphur and White,4941,10.8,tt11242218tt7334158
Anna Kendrick,nm0447695,2020,Trolls World Tour,17584,6.1,tt6587640
Anna Maria Sieklucka,nm11110971,2020,365 Days,55285,3.2,tt10886166
Anna Maxwell Martin,nm1269412,2020,The DukeSay Your Prayers,229,10.8,tt11204094tt4229826
Anna Walton,nm0910472,2020,My Dad's Christmas Date,660,5.3,tt11457736
AnnaLynne McCord,nm1715118,2020,A Soldier's Revenge,437,3.7,tt9302994
AnnaSophia Robb,nm1455681,2020,Words on Bathroom Walls,3719,7.1,tt8045906
Annabelle Wallis,nm1834115,2020,The Silencing,13857,6.2,tt7149730
Annabeth Gish,nm0001272,2020,The Warrant,290,4.1,tt10880084
Annalise Basso,nm2399383,2020,The Bloodhound,259,4.6,tt6920798
Anne Hathaway,nm0004266,2020,The WitchesThe Last Thing He Wanted,39249,9.6,tt0805647tt7456312
Anne Heche,nm0000162,2020,The Vanished,7265,5.7,tt9794630
Anne Reid,nm0717176,2020,The Nest,6415,6.4,tt8338762
Annie Heise,nm3704163,2020,The Au Pair Nightmare,197,5.2,tt10461740
Annie Mumolo,nm1754239,2020,Looks That Kill,2240,6.3,tt8179470
Anthony Carrigan,nm2810593,2020,Bill & Ted Face the Music,31080,6.1,tt1086064
Anthony Heald,nm0372217,2020,Alone,10716,6.2,tt7711170
Anthony Hopkins,nm0000164,2020,The FatherElyse,19073,12.5,tt10272386tt9098562
Anthony Konechny,nm3424969,2020,2 Hearts,562,5.7,tt5616176
Anthony LaPaglia,nm0001439,2020,Pearl,132,4.6,tt12325668
Anthony Mackie,nm1107001,2020,The Banker,20824,7.3,tt6285944
Anthony Ramos,nm6588867,2020,HamiltonHonest ThiefTrolls World Tour,108442,20.6,tt8503618tt1838556tt6587640
Anton Lesser,nm0504320,2020,The CourierKindredGatecrash,2439,16.4,tt8368512tt9742392tt7358576
Antonio Banderas,nm0000104,2020,Dolittle,50409,5.6,tt6673612
Anya Taylor-Joy,nm5896355,2020,The New MutantsEmma.Here Are the Young Men,83121,18.3,tt4682266tt9214832tt5598868
April Telek,nm0854304,2020,A Babysitter's Guide to Monster Hunting,3080,5.4,tt4844150
Ari Graynor,nm0310966,2020,Like a Boss,10833,4.6,tt7545266
Ariana DeBose,nm3663196,2020,HamiltonThe Prom,84151,14.4,tt8503618tt10161886
Ariana Greenblatt,nm7567556,2020,Love and MonstersScoob!The One and Only Ivan,65496,19.3,tt2222042tt3152592tt3661394
Arliss Howard,nm0397124,2020,MankLapsis,50824,13.1,tt10618286tt11540272
Armie Hammer,nm2309517,2020,Rebecca,32535,6.0,tt2235695
Armin Shimerman,nm0001734,2020,Unbelievable!!!!!,753,5.3,tt2180583
Artemis Pebdani,nm2016157,2020,The Croods: A New AgeGodmothered,31627,13.1,tt2850386tt11681250
Arturo Castro,nm3594330,2020,The Broken Hearts GalleryBattle Scars,4650,10.1,tt2140571tt12071472
Asher Keddie,nm0444291,2020,Rams,1086,6.4,tt8737608
Ashleigh Cummings,nm2913280,2020,Miss Fisher & the Crypt of Tears,3071,6.1,tt9010738
Ashley Rickards,nm2413197,2020,Smiley Face Killers,539,3.6,tt12757438
Ashley Tisdale,nm0864308,2020,Phineas and Ferb the Movie: Candace Against the Universe,3094,7.2,tt1817232
Ashlie Atkinson,nm1534700,2020,Before/During/After,253,4.9,tt6393674
Ashlynn Yennie,nm2460100,2020,Faith BasedVariant,517,9.0,tt10260692tt7236054
Ashton Sanders,nm5480894,2020,All Day and a Night,3095,5.8,tt3993886
Assaad Bouab,nm1492213,2020,The Bay of Silence,1500,4.3,tt5617312
Aubrey Plaza,nm2201555,2020,Happiest SeasonBlack Bear,33615,13.2,tt8522006tt9601220
Audrey Fleurot,nm1109153,2020,Divorce ClubConnectes,680,8.6,tt9303772tt12734582
Audrey Landers,nm0484626,2020,5th Borough,601,6.6,tt8241876
Auli'i Cravalho,nm7635388,2020,All Together Now,3202,6.5,tt3155342
Austin Abrams,nm3641002,2020,Chemical Hearts,8728,6.3,tt5843876
Austin Pendleton,nm0671721,2020,Before/During/AfterPaintThe Mimic,520,14.600000000000001,tt6393674tt11232208tt5704368
Austin Stowell,nm3271473,2020,Fantasy Island,38605,4.9,tt0983946
Austyn Johnson,nm8874655,2020,Lost Girls,17680,6.1,tt3111426
Awkwafina,nm5377144,2020,The SpongeBob Movie: Sponge on the Run,12272,6.0,tt4823776
Aya Cash,nm2251731,2020,Scare Me,2684,5.7,tt10126434
Bai Ling,nm0000499,2020,The LegionAirliner Sky Battle,720,6.5,tt8318284tt13437998
BarBara Luna,nm0526008,2020,Unbelievable!!!!!,753,5.3,tt2180583
Barbara Bain,nm0000828,2020,On the Rocks,24030,6.5,tt9606374
Barbara Bouchet,nm0099054,2020,Tolo Tolo,2838,5.8,tt10413566
Barbara Crampton,nm0186225,2020,Run Hide FightSacrifice,15049,11.0,tt11456054tt10004108
Barbie Ferreira,nm9209960,2020,Unpregnant,4998,6.3,tt10556022
Barkhad Abdi,nm5831542,2020,Beneath a Sea of Lights,279,5.7,tt8070042
Barry Corbin,nm0179224,2020,Star Trek First Frontier,152,5.6,tt9753990
Beau Bridges,nm0000977,2020,One Night in Miami...,21368,7.2,tt10612922
Beau Knapp,nm3354041,2020,Mosquito State,149,5.5,tt12789540
Bebe Neuwirth,nm0001564,2020,Modern Persuasion,131,4.7,tt2165922
Becky Ann Baker,nm0048250,2020,The Half of It,29358,6.9,tt9683478
Bel Powley,nm2525790,2020,The King of Staten Island,42901,7.1,tt9686708
Bella Heathcote,nm2757333,2020,Relic,18209,6.0,tt9072352
Bella Ramsey,nm8165602,2020,Resistance,4670,6.4,tt6914122
Bella Thorne,nm2254074,2020,The Babysitter: Killer QueenChick FightInfamousGirl,33855,19.299999999999997,tt11024272tt10944486tt7703924tt9392374
Ben Affleck,nm0000255,2020,The Way BackThe Last Thing He Wanted,47444,11.0,tt8544498tt7456312
Ben Chase,nm6064640,2020,The Last Thing He Wanted,13050,4.3,tt7456312
Ben Cotton,nm0970805,2020,Welcome to the Circle,222,3.3,tt3918800
Ben Diskin,nm0228356,2020,The Academy of Magic,174,3.5,tt5768992
Ben Falcone,nm1229520,2020,Superintelligence,6078,5.4,tt7178640
Ben Hardy,nm5228887,2020,Pixie,1627,5.8,tt10831086
Ben Robson,nm4466085,2020,Emperor,787,5.6,tt8354752
Ben Schwartz,nm2355635,2020,Sonic the Hedgehog,94677,6.5,tt3794354
Ben Shenkman,nm0791570,2020,The Trial of the Chicago 7,123084,7.8,tt1070874
Ben Stiller,nm0001774,2020,Hubie Halloween,39958,5.2,tt10682266
Ben Whishaw,nm0924210,2020,Surge,218,6.3,tt9305634
Benedict Cumberbatch,nm1212722,2020,The Courier,1690,7.3,tt8368512
Benedict Wong,nm0938950,2020,Nine Days,373,7.4,tt10451852
Benny Safdie,nm1509478,2020,Pieces of a Woman,32629,7.1,tt11161474
Berenice Bejo,nm0067367,2020,The Lost PrinceA Friendly Tale,1411,11.5,tt8335482tt11018048
Bernadette Peters,nm0001613,2020,The Broken Hearts Gallery,4364,6.2,tt2140571
Beth Broderick,nm0110803,2020,Becoming,939,4.7,tt2573372
Beth Grant,nm0335275,2020,Words on Bathroom WallsWander Darkly,4495,12.899999999999999,tt8045906tt8902978
Bethany Joy Lenz,nm0502342,2020,Blindfire,403,4.4,tt10103028
Betsy Holt,nm3466591,2020,All My Life,1564,6.2,tt8305852
Betsy Sodaro,nm4161838,2020,Hubie HalloweenTrolls World TourAn American PickleValley Girl,76623,22.4,tt10682266tt6587640tt9059704tt1266036
Bette Midler,nm0000541,2020,The Glorias,2248,5.4,tt7435316
Betty Gilpin,nm2365811,2020,The HuntThe GrudgeCoffee & Kareem,106529,15.899999999999999,tt8244784tt3612126tt9898858
Beyonce,nm0461498,2020,Black Is King,8069,5.5,tt12607910
Bill Burr,nm0122987,2020,The King of Staten IslandThe Opening Act,43666,13.2,tt9686708tt8633748
Bill Camp,nm0131966,2020,News of the World,54032,6.8,tt6878306
Bill Fagerbakke,nm0265067,2020,The SpongeBob Movie: Sponge on the Run,12272,6.0,tt4823776
Bill Heck,nm2772701,2020,I'm Your Woman,6425,6.2,tt10243992
Bill Irwin,nm0410347,2020,Irresistible,12514,6.3,tt9076562
Bill Moseley,nm0608405,2020,I Am Fear,421,3.4,tt1369571
Bill Murray,nm0000195,2020,On the Rocks,24030,6.5,tt9606374
Bill Nighy,nm0631490,2020,Emma.Minamata,36236,14.5,tt9214832tt9179096
Bill Paterson,nm0665473,2020,RebeccaLove SarahMarionette,35053,18.1,tt2235695tt9448932tt8237272
Bill Pullman,nm0000597,2020,The High Note,7145,6.4,tt9308382
Bill Sage,nm0756083,2020,The Dinner PartyThe Pale Door,3290,8.899999999999999,tt10358198tt9178402
Bill Skarsgard,nm0803889,2020,The Devil All the TimeNine Days,99506,14.5,tt7395114tt10451852
Billy Porter,nm0692039,2020,Like a Boss,10833,4.6,tt7545266
Billy West,nm0921942,2020,Scoob!,20220,5.7,tt3152592
Billy Zane,nm0000708,2020,Ghosts of WarGuest HouseFinal KillBattle of the Bulge: Winter War,9162,16.3,tt6508228tt10054316tt9347750tt12631030
Blair Underwood,nm0005516,2020,Bad Hair,2337,5.6,tt4798836
Blake Anderson,nm2981935,2020,Have a Good TripSpy Intervention,7192,10.7,tt12133722tt7369550
Blake Clark,nm0163703,2020,Hubie Halloween,39958,5.2,tt10682266
Blake Lively,nm0515116,2020,The Rhythm Section,13458,5.3,tt7134096
Blanca Suarez,nm0840754,2020,El verano que vivimos,251,5.9,tt10042590
Blu Hunt,nm7385556,2020,The New Mutants,48060,5.3,tt4682266
Bo Burnham,nm3102998,2020,Promising Young Woman,61956,7.5,tt9620292
Bo Derek,nm0000137,2020,JL Family Ranch 2,239,5.8,tt10302982
Bo Hopkins,nm0005019,2020,Hillbilly Elegy,29763,6.7,tt6772802
Bobby Cannavale,nm0134072,2020,Superintelligence,6078,5.4,tt7178640
Bobby Lee,nm0496899,2020,The Wrong MissyGuest House,34817,10.100000000000001,tt9619798tt10054316
Bodhi Elfman,nm0001183,2020,Browse,115,3.6,tt5580306
Bojana Novakovic,nm0636942,2020,Birds of Prey,177659,6.1,tt7713068
Bokeem Woodbine,nm0940158,2020,Spenser Confidential,72796,6.2,tt8629748
Booboo Stewart,nm1559927,2020,Let Him Go,13268,6.7,tt9340860
Boyd Holbrook,nm2933542,2020,We Can Be Heroes,10953,4.7,tt10600398
Brad William Henke,nm0377034,2020,Arkansas,9759,6.0,tt9139586
Bradley Whitford,nm0925966,2020,The Call of the WildSergioSongbird,54361,17.5,tt7504726tt8750570tt12592252
Brandon Flynn,nm8210730,2020,Looks That Kill,2240,6.3,tt8179470
Brandon Quinn,nm0703778,2020,Greenland,73545,6.4,tt7737786
Brandon Routh,nm0746125,2020,Anastasia,474,2.9,tt7014356
Branscombe Richmond,nm0725079,2020,Disturbing the PeaceWish Upon A Unicorn,1825,8.5,tt5717194tt10798660
Bre Blair,nm0086205,2020,For the Love of Jessee,183,5.6,tt7411120
Brea Grant,nm2647420,2020,LuckyThe Stylist,1426,10.8,tt11701774tt11056910
Breckin Meyer,nm0005227,2020,Unpregnant,4998,6.3,tt10556022
Brenda Bakke,nm0000283,2020,Unbelievable!!!!!,753,5.3,tt2180583
Brenda Song,nm0814259,2020,Bobbleheads: The Movie,153,3.1,tt13292206
Brendan Fehr,nm0270451,2020,Wander,3157,4.9,tt9689696
Brendan Sexton III,nm0786639,2020,The VoicesChronicle of a Serial Killer,1052,10.3,tt5950596tt4269310
Brent Sexton,nm0786641,2020,Irresistible,12514,6.3,tt9076562
Brenton Thwaites,nm4154798,2020,Ghosts of WarI Met a Girl,7629,11.5,tt6508228tt9731360
Brian Baumgartner,nm1580911,2020,My Boyfriend's Meds,347,4.4,tt8976664
Brian Cox,nm0004051,2020,Last Moment of ClarityThe Bay of Silence,3204,9.5,tt1929297tt5617312
Brian Dennehy,nm0001133,2020,Son of the South,481,5.4,tt2235372
Brian Geraghty,nm1310016,2020,Blindfire,403,4.4,tt10103028
Brian Gleeson,nm2244852,2020,Death of a Ladies' Man,130,5.3,tt7923118
Brian Krause,nm0470182,2020,Retreat to Paradise,184,5.9,tt11192714
Brian Tyree Henry,nm3109964,2020,Superintelligence,6078,5.4,tt7178640
Bridget Everett,nm3008608,2020,The Stand In,1284,4.5,tt7970348
Brigette Lundy-Paine,nm6617420,2020,Bill & Ted Face the Music,31080,6.1,tt1086064
Brighton Sharbino,nm3276835,2020,Beckman,402,4.2,tt10989808
Britt Lower,nm3138882,2020,Holly Slept Over,1206,5.5,tt7453044
Britt Robertson,nm1429380,2020,I Still BelieveBooks of Blood,13639,12.1,tt9779516tt11242218
Brittany Furlan,nm3571490,2020,Spy Intervention,836,3.9,tt7369550
Brittany Ishibashi,nm0410893,2020,Over the Moon,14615,6.4,tt7488208
Brittany Snow,nm0811242,2020,Hooking Up,1453,5.5,tt9815998
Brooke Nevin,nm0627492,2020,Her Secret Family Killer,134,4.8,tt10696018
Brooke Shields,nm0000222,2020,My Boyfriend's Meds,347,4.4,tt8976664
Brooklynn Prince,nm7737419,2020,The TurningThe One and Only Ivan,19322,10.399999999999999,tt7510346tt3661394
Bruce Davison,nm0001117,2020,We Still Say GracePearl,320,9.8,tt3408894tt12325668
Bruce Dern,nm0001136,2020,Emperor,787,5.6,tt8354752
Bruce McGill,nm0569226,2020,The Big Ugly,1556,4.9,tt9441638
Bruce Spence,nm0817748,2020,Love and MonstersThe Dry,39771,14.3,tt2222042tt5144174
Bruce Willis,nm0000246,2020,Hard KillSurvive the NightBreach,17231,10.399999999999999,tt11656172tt10303324tt9820556
Bryan Callen,nm0130437,2020,Think Like a Dog,1180,5.1,tt5929654
Bryan Cranston,nm0186505,2020,The One and Only Ivan,9201,6.6,tt3661394
Bryce Papenbrook,nm0745310,2020,A Whisker AwayDemon Slayer the Movie: Mugen TrainDigimon Adventure: Last Evolution Kizuna,12178,22.6,tt11958344tt11032374tt9507234
Bug Hall,nm0355379,2020,This Is the Year,102,7.4,tt8231202
